source,table,series,period,value
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ОФ,1969,1.98
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",KB,1969,1.67
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Ввод ОФ,1969,1.79
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Доля KB п ВВП (ц.90г.),1969,0.288
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Фондоотд. (ц.90г.),1969,0.581
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ВВП,1970,1.99
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ОФ,1970,2.14
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",KB,1970,1.87
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Ввод ОФ,1970,2.02
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Доля KB п ВВП (ц.90г.),1970,0.296
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Фондоотд. (ц.90г.),1970,0.585
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ВВП,1971,2.1
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ОФ,1971,2.31
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",KB,1971,2.02
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Ввод ОФ,1971,2.16
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Доля KB п ВВП (ц.90г.),1971,0.304
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Фондоотд. (ц.90г.),1971,0.571
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ВВП,1972,2.17
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ОФ,1972,2.5
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",KB,1972,2.17
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Ввод ОФ,1972,2.25
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Доля KB п ВВП (ц.90г.),1972,0.316
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Фондоотд. (ц.90г.),1972,0.546
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ВВП,1973,2.38
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ОФ,1973,2.69
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",KB,1973,2.27
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Ввод ОФ,1973,2.47
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Доля KB п ВВП (ц.90г.),1973,0.301
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Фондоотд. (ц.90г.),1973,0.556
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ВВП,1974,2.52
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ОФ,1974,2.91
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",KB,1974,2.44
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Ввод ОФ,1974,2.61
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Доля KB п ВВП (ц.90г.),1974,0.306
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Фондоотд. (ц.90г.),1974,0.545
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ВВП,1975,2.65
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ОФ,1975,3.13
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",KB,1975,2.69
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Ввод ОФ,1975,2.87
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Доля KB п ВВП (ц.90г.),1975,0.32
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Фондоотд. (ц.90г.),1975,0.532
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ВВП,1976,2.8
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ОФ,1976,3.36
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",KB,1976,2.83
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Ввод ОФ,1976,2.94
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Доля KB п ВВП (ц.90г.),1976,0.319
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Фондоотд. (ц.90г.),1976,0.524
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ВВП,1977,2.94
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ОФ,1977,3.59
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",KB,1977,2.92
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Ввод ОФ,1977,3.01
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Доля KB п ВВП (ц.90г.),1977,0.314
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Фондоотд. (ц.90г.),1977,0.514
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ВВП,1978,3.08
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ОФ,1978,3.85
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",KB,1978,3.1
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Ввод ОФ,1978,3.27
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Доля KB п ВВП (ц.90г.),1978,0.317
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Фондоотд. (ц.90г.),1978,0.503
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ВВП,1979,3.14
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ОФ,1979,4.11
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",KB,1979,3.13
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Ввод ОФ,1979,3.27
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Доля KB п ВВП (ц.90г.),1979,0.314
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Фондоотд. (ц.90г.),1979,0.481
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ВВП,1980,3.28
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ОФ,1980,4.38
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",KB,1980,3.22
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Ввод ОФ,1980,3.65
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Доля KB п ВВП (ц.90г.),1980,0.31
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Фондоотд. (ц.90г.),1980,0.47
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ВВП,1981,3.37
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ОФ,1981,4.67
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",KB,1981,3.35
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Ввод ОФ,1981,3.68
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Доля KB п ВВП (ц.90г.),1981,0.313
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Фондоотд. (ц.90г.),1981,0.454
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ВВП,1982,3.5
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ОФ,1982,4.98
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",KB,1982,3.47
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Ввод ОФ,1982,3.9
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Доля KB п ВВП (ц.90г.),1982,0.313
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Фондоотд. (ц.90г.),1982,0.442
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ВВП,1983,3.63
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ОФ,1983,5.31
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",KB,1983,3.62
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Ввод ОФ,1983,4.1
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Доля KB п ВВП (ц.90г.),1983,0.315
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Фондоотд. (ц.90г.),1983,0.43
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ВВП,1984,3.73
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ОФ,1984,5.63
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",KB,1984,3.67
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Ввод ОФ,1984,4.1
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Доля KB п ВВП (ц.90г.),1984,0.31
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Фондоотд. (ц.90г.),1984,0.417
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ВВП,1985,3.81
